a,art,uno,
shore,n,litore,
shovel,n,pala,
show,vt,monstra,
shrewd,adj,versuto,
shun,vt,evita,
shutter,n,obturatore,
sideboard,n,armario,
sight,n,visu,
sign,vt,indica,
silex,n,silice,
silica,n,silice,
silly,adj,stulto,
silver,n,argento,
simplex,adj,simplice,
simultaneously,adv,simul,
since,prep,deinde,
sing,vt,canta,
sister,n,sorore,
sketch,n,designo,
skin,n,pelle,
sky,n,caelo ,
slag,n,scoria,
slay,vt,trucida,
sleep,vi,dormi,
sleeve,n,manica,
slow,adj,lento,
small,adj,parvo,
smelt,vt,funde,
smile,vi,arride,
smoke,vt,fuma,
snatch,vt,velle,
snow,n,nive,
snow,vi,ninge,
soap,n,sapone,
sock,n,socculo,
soft,adj,molle,
soil,n,solo,
soldier,n,milite,
sole,n,solea,
solution,n,solutione,
son,n,filio,
sorry,adj,dolente,
soul,n,anima,
sound,n,sono,
sound,vi,sona,
soup,n,jusculo,
sow,vt,semina,
space,n,spatio,
spare,vt,parce,
spark,n,scintilla,
sparrow,n,passere,
speak,vt,loque,
specimen,n,specimine,
speech,n,oratione,
spigot,n,obturatore,
spine,n,spina,Omni rosa habe spina.
split,n,fissura,
spoken,adj,locuto,
spoon,n,cochleare,
sprinkle (liquid),vt,consperge,
square,n,quadrato,
staff,n,palo,
stake,n,palo,
stand,vi,sta,
state (pol),n,regno,
stay,vi,sta,
stead,n,vice,
steel,n,aciario,
steward (ship; plane),n,dapifero,
stick,n,baculo,
still,adv,tamen,
stimulate,vt,stimula,
stocking,n,socculo,
stop,vt,siste,
storm,n,procella,
straight,adj,recto,
strain,vt,tende,
straw,n,palea,
street,n,strata,
stretch,vt,tende,
strike,vt,feri,
strong,adj,forte,
stuff (fill),vt,farci,
stupid,adj,stulto,
style,n,stilo,
submit,vt,submitte,
suck,vt,suge,
sugar,n,saccharo,
suggest,vt,suggere,
summer,n,aestate,
sun,n,sol,Sol fulge.
Sunday,n,soldie,
sunflower,n,heliantho,
super,adj,supra,
superior,adj,superiore,
superstructure,n,opere,
supper,n,cena,
supporter,n,fautore,
suppose,vt,suppone,
supress,vt,supprime,
surmount,vt,supera,
surpass,vt,supera,
surplus,n,reliquo,
suspect,vt,suspice,
suture,n,sutura,
swamp,n,palude,
sweat,n,sudore,
sweet,adj,ducle,Morte pro patria es dulce.
swift,adj,veloce,
swim,vi,nata,
tadpole,n,ranunculo,
tailor,n,sartore,
take,vt,prende,
talent,n,ingenio,
tall,adj,alto,
tame (domesticate),vt,domita,
task,n,opera,
tax (amount owed),n,imposito,
tear,n,lacrima,
tempt,vt,tenta,
tenant (house),n,inquilio,
tense,n,tempore,
tent,n,tentorio,
term,n,tempore,
test,vt,proba,
than,conj,quam,
their,pos,suo,
theirselves,prn,se,
thence,adv,inde,
thesaurus,n,thesauro,
thin,adj,tenue,
thing,n,re,
third,fract,uno tertio,
third,ord,tertio,
thirst,n,siti,
thorax,n,thorace,
thou,prn,te,
though,conj,etsi,
thousand,card,mille,
thousandth,ord,millesimo,
thread,n,filo,
threshold,n,limine,
thrill,vt,incende,
thumb,n,pollice,
thunder,vi,tona,
Thursday,n,jovedie,
thwart,vt,impedi,
ticket,n,tessera,
tight,adj,angusto,
timber,n,ligno,
time,n,tempore,Tempore es moneta.
tin,n,stanno,
tip (donation),n,donation,
today,adv,hodie,
tomorrow,adv,cras,
tongue,n,lingua,
tooth,n,dente,
top,n,summo,
towel,n,linteo,
tower,n,turre,
town,n,urbe,
train,n,trahino,
trajectory,n,trajectu,
translate,vt,traduce,
translation,n,traductione,
trap,n,fovea,
treasure,n,thesauro,
treble,adj,triplo,
tremble,vi,treme,
trousers,n,braca,
trout,n,tructa,
tub,n,tina,
tube,n,tubo,
Tuesday,n,martedie,
tug,vt,trahe,
tunic,n,tunica,
twig,n,virga,
twinkle,vi,mica,
twist,vt,torque,
ugly,adj,turpe,
umbrella,n,umbella,
uncertain,adj,vago,
uncle,n,avunculo,
under,n,sub,
underling,n,inferiore,
underpants,n,sub-bracas,
undertake,vt,interprehende,
uneasy,adj,inquieto,
unfavorable,adj,infausto,
unfounded,adj,ficto,
union,n,unione,
unknown,adj,ignoto,
